,loss_value
1196,143.18
1197,143.29
1198,142.82
1199,142.61
1200,143.3
1201,142.97
1202,143.21
1203,141.66
1204,144.1
1205,142.3
1206,142.91
1207,141.75
1208,142.53
1209,142.38
1210,143.06
1211,142.24
1212,141.83
1213,142.16
1214,141.59
1215,143.26
1216,142.25
1217,142.33
1218,142.36
1219,141.69
1220,142.56
1221,141.8
1222,142.34
1223,142.14
1224,141.86
1225,142.42
1226,142.25
1227,142.61
1228,141.0
1229,142.3
1230,140.24
1231,141.8
1232,142.23
1233,142.92
1234,141.87
1235,142.34
1236,140.64
1237,141.42
1238,140.83
1239,142.28
1240,142.49
1241,141.7
1242,141.18
1243,141.79
1244,141.73
1245,141.71
1246,141.02
1247,141.6
1248,141.79
1249,141.77
1250,140.85
1251,141.69
1252,141.41
1253,140.75
1254,142.85
1255,141.58
1256,141.53
1257,142.27
1258,140.95
1259,141.1
1260,141.42
1261,140.65
1262,141.34
1263,139.43
1264,140.69
1265,142.04
1266,140.23
1267,141.75
1268,140.27
1269,140.85
1270,141.13
1271,141.81
1272,140.47
1273,141.37
1274,139.64
1275,139.08
1276,141.05
1277,140.48
1278,139.81
1279,139.43
1280,140.29
1281,140.02
1282,140.11
1283,140.13
1284,140.09
1285,140.02
1286,140.53
1287,139.95
1288,140.49
1289,140.49
1290,140.25
1291,140.21
1292,139.97
1293,139.63
1294,139.83
1295,139.98
1296,140.33
1297,139.58
1298,139.68
1299,140.73
1300,140.12
1301,139.16
1302,139.93
1303,140.42
1304,139.9
1305,140.16
1306,138.99
1307,140.21
1308,138.33
1309,139.75
1310,138.91
1311,139.07
1312,139.22
1313,139.73
1314,139.4
1315,138.83
1316,137.97
1317,138.61
1318,138.57
1319,138.56
1320,138.66
1321,139.36
1322,140.12
1323,139.3
1324,139.46
1325,139.15
1326,139.42
1327,137.93
1328,139.81
1329,139.3
1330,138.15
1331,138.84
1332,138.67
1333,138.79
1334,139.02
1335,137.98
1336,138.76
1337,138.07
1338,138.68
1339,138.41
1340,137.68
1341,138.63
1342,138.74
1343,138.24
1344,136.82
1345,137.32
1346,137.91
1347,137.81
1348,137.62
1349,137.93
1350,138.71
1351,136.36
1352,137.16
1353,137.06
1354,138.12
1355,138.29
1356,137.23
1357,137.53
1358,138.34
1359,137.59
1360,137.52
1361,137.09
1362,137.39
1363,137.64
1364,137.55
1365,137.43
1366,138.88
1367,137.81
1368,137.58
1369,136.82
1370,138.59
1371,137.62
1372,137.6
1373,137.5
1374,138.24
1375,137.39
1376,136.28
1377,137.17
1378,136.17
1379,137.14
1380,137.44
1381,136.29
1382,136.88
1383,137.96
1384,136.37
1385,136.52
1386,136.93
1387,137.35
1388,136.51
1389,136.47
1390,137.4
1391,135.57
1392,136.98
1393,136.47
1394,136.16
1395,136.6
1396,136.42
1397,135.6
1398,137.37
1399,136.44
1400,135.92
1401,135.5
1402,136.57
1403,136.1
1404,136.97
1405,136.4
1406,136.06
1407,136.1
1408,135.94
1409,136.71
1410,135.99
1411,136.12
1412,136.09
1413,136.12
1414,136.07
1415,134.85
1416,135.35
1417,136.01
1418,136.6
1419,136.52
1420,135.25
1421,135.06
1422,136.1
1423,135.75
1424,136.29
1425,136.66
1426,135.4
1427,135.05
1428,135.5
1429,135.22
1430,134.95
1431,135.63
1432,134.89
1433,136.11
1434,135.41
1435,134.42
1436,134.71
1437,136.54
1438,134.34
1439,135.8
1440,134.99
1441,135.05
1442,135.98
1443,135.36
1444,134.93
1445,135.56
1446,135.56
1447,135.31
1448,135.79
1449,134.86
1450,134.89
1451,135.55
1452,134.38
1453,135.74
1454,134.87
1455,135.3
1456,134.92
1457,134.95
1458,134.87
1459,133.94
1460,134.82
1461,134.63
1462,134.96
1463,134.82
1464,135.0
1465,133.88
1466,134.7
1467,134.36
1468,134.54
1469,134.44
1470,135.55
1471,133.61
1472,133.26
1473,134.67
1474,134.17
1475,134.19
1476,134.3
1477,133.58
1478,134.46
1479,134.29
1480,134.01
1481,133.35
1482,134.79
1483,133.49
1484,133.24
1485,133.68
1486,134.0
1487,134.25
1488,133.83
1489,134.29
1490,133.21
1491,134.12
1492,134.14
1493,133.53
1494,133.96
1495,134.52
1496,133.66
1497,133.1
1498,133.48
1499,134.01
1500,133.5
1501,133.99
1502,134.13
1503,132.85
1504,133.21
1505,134.37
1506,134.32
1507,132.9
1508,134.47
1509,132.8
1510,133.38
1511,132.82
1512,133.68
1513,133.21
1514,133.23
1515,133.28
1516,132.76
1517,132.89
1518,132.54
1519,132.08
1520,132.83
1521,133.12
1522,133.19
1523,132.97
1524,132.82
1525,132.35
1526,131.76
1527,132.51
1528,132.56
1529,132.44
1530,133.43
1531,132.99
1532,131.76
1533,131.85
1534,132.24
1535,133.85
1536,132.69
1537,132.3
1538,131.47
1539,131.93
1540,132.48
1541,131.96
1542,132.45
1543,132.35
1544,131.79
1545,133.05
1546,132.3
1547,132.05
1548,132.48
1549,132.2
1550,131.83
1551,131.6
1552,130.76
1553,132.55
1554,132.89
1555,131.65
1556,132.35
1557,131.11
1558,132.93
1559,132.15
1560,131.38
1561,132.45
1562,132.42
1563,131.87
1564,132.02
1565,132.56
1566,130.73
1567,131.73
1568,131.44
1569,131.65
1570,132.38
1571,131.05
1572,129.9
1573,132.32
1574,131.53
1575,130.74
1576,131.75
1577,131.22
1578,131.37
1579,131.73
1580,131.24
1581,130.11
1582,131.64
1583,131.19
1584,132.09
1585,130.01
1586,130.65
1587,130.16
1588,132.5
1589,131.38
1590,130.56
1591,130.22
1592,130.94
1593,129.77
1594,131.06
1595,130.48
1596,131.8
1597,130.32
1598,130.67
1599,129.95
1600,130.6
1601,131.27
1602,130.22
1603,129.83
1604,130.58
1605,130.62
1606,130.75
1607,130.88
1608,130.6
1609,130.72
1610,130.71
1611,129.63
1612,130.47
1613,131.03
1614,129.77
1615,130.78
1616,129.92
1617,131.39
1618,129.19
1619,130.0
1620,131.45
1621,129.39
1622,129.71
1623,130.49
1624,130.71
1625,130.41
1626,129.81
1627,130.34
1628,130.66
1629,129.9
1630,130.36
1631,130.03
1632,130.94
1633,130.04
1634,130.84
1635,130.98
1636,130.18
1637,129.4
1638,129.93
1639,130.06
1640,129.83
1641,129.2
1642,129.21
1643,129.63
1644,129.53
1645,129.43
1646,129.04
1647,129.91
1648,130.06
1649,129.04
1650,128.96
1651,129.61
1652,130.18
1653,130.13
1654,128.0
1655,129.31
1656,129.48
1657,128.47
1658,128.77
1659,129.02
1660,130.41
1661,129.27
1662,128.35
1663,129.36
1664,128.91
1665,129.7
1666,129.14
1667,129.36
1668,128.84
1669,129.01
1670,128.78
1671,129.22
1672,130.06
1673,128.28
1674,128.57
1675,128.31
1676,129.78
1677,128.73
1678,129.4
1679,128.88
1680,128.78
1681,129.39
1682,128.4
1683,128.78
1684,128.16
1685,129.61
1686,127.66
1687,127.56
1688,128.78
1689,129.25
1690,128.4
1691,129.49
1692,128.64
1693,129.47
1694,128.11
1695,128.28
1696,128.44
1697,127.63
1698,128.28
1699,128.35
1700,127.32
1701,128.62
1702,128.23
1703,128.76
1704,128.05
1705,128.81
1706,128.93
1707,127.83
1708,127.99
1709,128.35
1710,127.63
1711,128.14
1712,128.41
1713,129.01
1714,128.51
1715,127.48
1716,128.69
1717,127.6
1718,127.83
1719,127.94
1720,128.75
1721,128.6
1722,128.64
1723,126.91
1724,127.25
1725,127.41
1726,127.8
1727,127.26
1728,128.53
1729,126.97
1730,127.8
1731,126.95
1732,127.13
1733,128.41
1734,126.85
1735,127.65
1736,126.72
1737,126.45
1738,128.93
1739,127.91
1740,127.02
1741,127.69
1742,127.92
1743,127.63
1744,127.84
1745,127.12
1746,127.1
1747,127.59
1748,127.96
1749,128.5
1750,128.04
1751,128.12
1752,128.34
1753,126.39
1754,127.69
1755,126.06
1756,127.26
1757,126.69
1758,127.22
1759,126.48
1760,126.18
1761,126.99
1762,127.0
1763,126.78
1764,127.5
1765,127.14
1766,126.19
1767,126.95
1768,127.72
1769,126.16
1770,127.12
1771,125.95
1772,125.95
1773,126.0
1774,127.07
1775,125.52
1776,126.3
1777,126.71
1778,126.07
1779,127.44
1780,125.21
1781,126.83
1782,126.49
1783,127.4
1784,126.85
1785,125.28
1786,126.25
1787,126.23
1788,127.03
1789,125.57
1790,126.54
1791,126.39
1792,127.38
1793,125.93
1794,127.16
1795,126.11
1796,125.69
1797,126.35
1798,125.05
1799,126.47
1800,126.33
1801,126.06
1802,125.68
1803,125.71
1804,125.75
1805,125.52
1806,126.58
1807,126.77
1808,126.71
1809,125.48
1810,125.22
1811,126.33
1812,126.08
1813,125.6
1814,126.54
1815,125.75
1816,125.54
1817,126.22
1818,126.22
1819,125.53
1820,124.73
1821,125.74
1822,125.29
1823,125.91
1824,126.33
1825,125.68
1826,125.42
1827,126.2
1828,125.92
1829,124.43
1830,125.0
1831,126.48
1832,125.48
1833,124.97
1834,125.36
1835,125.58
1836,125.77
1837,125.04
1838,124.79
1839,125.49
1840,124.56
1841,125.15
1842,124.79
1843,124.76
1844,124.4
1845,124.95
1846,124.57
1847,125.48
1848,124.66
1849,125.89
1850,124.05
1851,125.38
1852,125.75
1853,125.19
1854,124.34
1855,124.04
1856,123.64
1857,125.95
1858,124.16
1859,124.72
1860,124.64
1861,125.33
1862,124.73
1863,124.54
1864,124.4
1865,123.8
1866,125.2
1867,124.94
1868,124.76
1869,123.79
1870,124.61
1871,124.69
1872,124.73
1873,124.73
1874,124.34
1875,125.89
1876,124.87
1877,124.47
1878,123.99
1879,124.5
1880,123.91
1881,124.21
1882,125.24
1883,124.36
1884,123.63
1885,123.81
1886,123.85
1887,123.7
1888,123.49
1889,124.8
1890,124.17
1891,124.06
1892,123.79
1893,124.07
1894,124.69
1895,123.93
1896,123.9
1897,123.94
1898,124.52
1899,123.32
1900,125.03
1901,124.44
1902,123.31
1903,124.62
1904,124.52
1905,124.51
1906,124.05
1907,124.47
1908,122.81
1909,124.75
1910,123.41
1911,124.6
1912,124.65
1913,123.63
1914,124.12
1915,123.2
1916,122.71
1917,124.52
1918,123.06
1919,122.66
1920,123.48
1921,123.66
1922,123.61
1923,123.66
1924,124.65
1925,123.72
1926,122.84
1927,123.5
1928,123.19
1929,122.4
1930,124.22
1931,123.49
1932,123.06
1933,123.69
1934,123.25
1935,123.42
1936,123.54
1937,123.9
1938,122.28
1939,123.26
1940,121.97
1941,122.81
1942,123.67
1943,122.82
1944,123.02
1945,123.87
1946,122.65
1947,122.93
1948,123.21
1949,122.45
1950,123.66
1951,122.82
1952,123.24
1953,123.75
1954,122.68
1955,122.99
1956,122.84
1957,123.16
1958,122.28
1959,123.62
1960,123.35
1961,122.62
1962,122.35
1963,123.22
1964,122.05
1965,122.79
1966,123.62
1967,122.73
1968,123.02
1969,122.24
1970,121.69
1971,122.79
1972,121.05
1973,122.55
1974,122.33
1975,123.61
1976,122.34
1977,123.32
1978,121.98
1979,121.42
1980,121.63
1981,121.48
1982,123.31
1983,123.21
1984,122.54
1985,122.35
1986,121.69
1987,122.61
1988,121.14
1989,122.15
1990,122.42
1991,122.03
1992,121.69
1993,122.08
1994,121.11
1995,122.5
1996,121.73
1997,122.6
1998,121.66
1999,122.47
2000,121.9
2001,122.42
2002,122.37
2003,122.3
2004,122.65
2005,122.65
2006,121.24
2007,122.44
2008,122.79
2009,121.05
2010,121.22
2011,121.13
2012,121.99
2013,121.5
2014,121.42
2015,122.35
2016,121.05
2017,121.18
2018,121.97
2019,120.96
2020,121.17
2021,122.47
2022,122.11
2023,122.53
2024,121.29
2025,121.86
2026,120.57
2027,120.96
2028,121.85
2029,121.67
2030,122.97
2031,121.83
2032,120.21
2033,120.67
2034,121.33
2035,121.6
2036,120.95
2037,121.44
2038,120.64
2039,121.08
2040,121.25
2041,120.72
2042,121.93
2043,121.59
2044,120.97
2045,121.92
2046,120.31
2047,120.33
2048,121.52
2049,121.38
2050,120.77
2051,120.39
2052,119.83
2053,121.12
2054,120.75
2055,120.94
2056,120.68
2057,120.44
2058,121.16
2059,121.34
2060,121.3
2061,121.13
2062,120.88
2063,120.93
2064,121.3
2065,120.59
2066,121.09
2067,120.5
2068,121.15
2069,120.22
2070,120.17
2071,121.48
2072,122.34
2073,120.79
2074,121.14
2075,120.32
2076,119.22
2077,119.68
2078,121.34
2079,120.64
2080,119.89
2081,120.63
2082,119.92
2083,120.22
2084,120.49
2085,121.39
2086,119.76
2087,120.71
2088,121.28
2089,120.44
2090,119.78
2091,121.32
2092,120.44
2093,120.72
2094,121.14
2095,119.86
2096,120.05
2097,120.49
2098,119.32
2099,120.16
2100,120.49
2101,119.88
2102,119.79
2103,119.91
2104,120.54
2105,119.65
2106,119.62
2107,120.06
2108,120.63
2109,119.71
2110,120.31
2111,119.98
2112,120.73
2113,120.91
2114,120.99
2115,119.68
2116,119.57
2117,119.55
2118,118.93
2119,120.38
2120,119.98
2121,119.46
2122,119.8
2123,119.48
2124,118.21
2125,121.3
2126,120.0
2127,119.57
2128,118.48
2129,121.11
2130,119.37
2131,120.0
2132,119.11
2133,119.26
2134,118.52
2135,119.37
2136,119.94
2137,119.29
2138,119.13
