,loss_value,acc,auc_validation,auc_test
342,0.5615,0.7335,0.6382,
343,0.5652,0.7334,0.6383,
344,0.5533,0.7352,0.6384,
345,0.5627,0.7321,0.6385,
346,0.5604,0.7371,0.6386,
347,0.5619,0.7377,0.6387,
348,0.5642,0.7279,0.6388,
349,0.5612,0.738,0.6388,
350,0.5592,0.7366,0.639,
351,0.5546,0.7365,0.6391,
352,0.5583,0.7353,0.6392,
353,0.5579,0.7403,0.6393,
354,0.5635,0.7364,0.6394,
355,0.5563,0.7389,0.6395,
356,0.5527,0.7381,0.6396,
357,0.565,0.7354,0.6397,
358,0.5577,0.7353,0.6398,
359,0.5588,0.7385,0.64,
360,0.5585,0.7345,0.6401,
361,0.56,0.7335,0.6402,
362,0.5492,0.739,0.6403,
363,0.5446,0.7403,0.6403,
364,0.5585,0.7352,0.6403,
365,0.555,0.7383,0.6403,
366,0.5523,0.7381,0.6404,
367,0.551,0.7417,0.6405,
368,0.5487,0.7432,0.6406,
369,0.5437,0.7423,0.6407,
370,0.5635,0.7349,0.6408,
371,0.561,0.736,0.6408,
372,0.5608,0.737,0.6409,
373,0.5606,0.7404,0.641,
374,0.5604,0.7385,0.6411,
375,0.5462,0.7395,0.6411,
376,0.5417,0.742,0.6412,
377,0.5581,0.7411,0.6412,
378,0.549,0.7439,0.6413,
379,0.5585,0.7412,0.6414,
380,0.5554,0.7429,0.6415,
381,0.5569,0.7428,0.6416,
382,0.544,0.7413,0.6416,
383,0.5544,0.7415,0.6417,
384,0.5583,0.741,0.6417,
385,0.55,0.74,0.6418,
386,0.5629,0.7365,0.6419,
387,0.5452,0.7452,0.6419,
388,0.5469,0.7463,0.642,
389,0.5537,0.7435,0.6421,
390,0.5515,0.7431,0.6422,
391,0.5585,0.7406,0.6423,
392,0.5521,0.743,0.6424,
393,0.5508,0.7392,0.6424,
394,0.5542,0.7387,0.6425,
395,0.559,0.7418,0.6427,
396,0.5396,0.7459,0.6427,
397,0.5567,0.7444,0.6427,
398,0.5471,0.7373,0.6428,
399,0.5502,0.7399,0.6429,
400,0.5523,0.7412,0.643,
401,0.546,0.7464,0.6431,
402,0.5417,0.7432,0.6431,
403,0.5562,0.7427,0.6431,
404,0.5573,0.7438,0.6432,
405,0.5473,0.7487,0.6433,
406,0.5598,0.7453,0.6434,
407,0.5454,0.7444,0.6435,
408,0.5456,0.7433,0.6436,
409,0.5415,0.7449,0.6437,
410,0.5412,0.747,0.6437,
411,0.5448,0.7448,0.6437,
412,0.5485,0.7416,0.6438,
413,0.5467,0.7452,0.6438,
414,0.539,0.7465,0.6438,
415,0.5481,0.7425,0.6439,
416,0.5435,0.7498,0.644,
417,0.5538,0.7456,0.6441,
418,0.5531,0.743,0.6441,
419,0.5581,0.743,0.6442,
420,0.5471,0.7474,0.6442,
421,0.5496,0.7443,0.6443,
422,0.5548,0.7465,0.6445,
423,0.541,0.7475,0.6445,
424,0.5373,0.7494,0.6445,
425,0.5563,0.7453,0.6446,
426,0.5546,0.743,0.6446,
427,0.5377,0.745,0.6446,
428,0.5552,0.7434,0.6447,
429,0.5494,0.7479,0.6448,
430,0.5413,0.7509,0.6449,
431,0.5427,0.7472,0.6448,
432,0.5446,0.7477,0.6449,
433,0.5421,0.7456,0.645,
434,0.5396,0.7506,0.6451,
435,0.5481,0.7474,0.6451,
436,0.546,0.7462,0.6451,
437,0.5371,0.747,0.6451,
438,0.5481,0.7475,0.6453,
439,0.5502,0.747,0.6454,
440,0.5402,0.7475,0.6455,
441,0.5435,0.7524,0.6456,
442,0.5488,0.7469,0.6456,
443,0.5467,0.7522,0.6457,
444,0.5419,0.7468,0.6457,
445,0.5431,0.7471,0.6457,
446,0.541,0.7508,0.6457,
447,0.5496,0.7482,0.6457,
448,0.539,0.749,0.6458,
449,0.5348,0.7523,0.6458,
450,0.5346,0.7508,0.6459,
451,0.5533,0.7508,0.6459,
452,0.5435,0.7467,0.6459,
453,0.5463,0.7518,0.646,
454,0.5402,0.7518,0.6461,
